Item Number,Book Title,Used Price,New Price,Review Count,Publisher,Item Weight,Sales Rank,Book Rank,Genre,Timestamp

006174266X,Ungifted,$0.10,$4.91,384,5 - 6<br/>,13,"153,909",1546,,"School, Humor, Friendship, Social Skills & School Life, Children's Books, Growing Up & Facts of Life, Friendship",2017-12-13 12:03:46
1414324375,Springtime of the Spirit (The Great War),$3.55,$6.49,61,400 pages,11,"2,137,189",2827,,"20th Century, Clean & Wholesome, Romance, Historical, Christian Books & Bibles, Literature & Fiction",2017-12-13 12:03:54
B0084QS28O,The Doomsday Key,$0.99,$2.86,,"HarperCollins (January 1, 2009)",1,"887,482",,,,2017-12-13 12:04:02
0449004570,N is for Noose (Kinsey Millhone Mysteries),$0.10,$3.90,392,Fawcett Books (1999),11,"3,999,539",318427,,"Mystery, Thriller & Suspense, Literature & Fiction",2017-12-13 12:04:12
0465045901,Smash Mouth: Two Years In The Gutter With Al Gore And George W. Bush -- Notes From The 2000 Campaign Trail,$0.01,$5.50,10,"Basic Books; 1St Edition edition (January 19, 2001)",1,"4,101,632",3315,,"Politics & Social Sciences, Politics & Government, National, Elections, United States, Elections & Political Process, Political Parties",2018-01-04 12:13:26
0688053068,Robert's Rules of Order,,,392,"William Morrow &amp; Co; Revised edition (June 1, 1971)",9,"6,186,232",316,,"Textbooks, Rules & Procedures, Civil Procedure, Political Science, Court Rules, Law, Social Sciences",2018-01-04 12:13:32
031242227X,Running with Scissors: A Memoir,$0.25,$8.39,1,"Picador; 1st edition (June 1, 2003)",11,"17,470",4,,"Biographies & Memoirs, Specific Groups, New England, LGBT, Deals in Books, Regional U.S.",2018-01-04 12:13:36
006019958X,Savannah Blues,$1.45,$9.91,418,"Harper; 1st edition (February 5, 2002)",1,"557,274",2280,,"Humor, Humorous, United States, Literature & Fiction, Humor & Satire, Short Stories & Anthologies",2018-01-04 12:13:40
0849940729,Millennium: Beginning Or End?,$0.10,$6.01,3,"W Publishing Group; First Edition edition (December 9, 1999)",9,"538,704",479,,"Eschatology, Bible Study & Reference, Theology, Prophecies, Prophecy, Christian Books & Bibles",2018-01-04 12:13:44
0452282195,The Bluest Eye (Oprah's Book Club),$1.00,$6.80,1,"Plume (April 26, 2000)",7,"435,264",26130,,"Literary, Literature & Fiction",2018-01-04 12:13:47
0440224675,Hannibal,$0.25,$1.98,3,"Dell (May 23, 2000)",3,"50,506",763,,"Murder, Thrillers & Suspense, Psychological Thrillers, Crime, Serial Killers, Mystery, Thriller & Suspense",2018-01-04 12:13:54
0778314138,Love in Plain Sight: Love 'n' Marriage\Almost An Angel,$14.99,$3.75,25,"MIRA (January 29, 2013)",0,"1,254,778",89946,,"Romance, United States, Contemporary, Literature & Fiction",2018-01-04 12:13:59
1586608320,PRAYERS AND PROMISES FOR WOMEN (Inspirational Library),$1.00,$2.00,3,224 pages,5,"3,381,598",3619,,"Inspirational, Women's Issues, Worship & Devotion, Prayerbooks, Christian Living, Religion & Spirituality, Christian Books & Bibles",2018-01-04 12:14:07
0071343881,Understanding the Euro: The Clear and Concise Guide to the New Trans-European Currency,$0.99,$31.59,8,"McGraw-Hill (December 16, 1998)",1,"5,657,505",4858,,"Encyclopedias & Subject Guides, Business, Economics, Business & Money, Education & Reference, International, Reference",2018-01-04 12:14:11
0060008504,Death in Dublin: A Peter McGarr Mystery,$2.25,$5.50,9,368 pages,4,"1,819,483",16904,,"Mystery, Mystery, Thriller & Suspense, Police Procedurals",2018-01-04 12:14:14
0871238829,When Breaks the Dawn (Canadian West),$4.46,$35.22,207,224 pages,7,"1,390,475",282,,"Westerns, Romance, Western, Genre Fiction, Religious & Inspirational, Christian Books & Bibles, Literature & Fiction",2018-01-04 12:14:29
1590526503,For Young Women Only: What You Need to Know About How Guys Think,$0.25,$4.12,87,"Multnomah; No Edition Stated edition (August 7, 2006)",8,"86,130",29,,"Dating & Intimacy, Parenting & Relationships, Social Issues, Parenting Girls, Teenagers, Parenting, Teens",2018-01-04 12:14:42
1605870587,5 Minutes A Day 365 Daily Devo,$1.06,$13.44,6,384 pages,14,"1,240,353",5853,,"Worship & Devotion, Christian Living, Religion & Spirituality, Christian Books & Bibles, Devotionals",2018-01-04 12:14:45
141659485X,The Christmas Sweater,$0.10,$2.90,773,"Threshold Editions; Reissue edition (November 11, 2008)",12,"307,865",299,,"Contemporary, Holidays, Christian Living, Christmas, Christian Books & Bibles, Literature & Fiction",2018-01-04 12:14:50
0312642709,Summer Rental: A Novel,$0.25,$3.00,613,"St. Martin's Griffin; Reprint edition (May 8, 2012)",13,"694,602",1166,,"United States, Women's Fiction, Friendship, Contemporary Women, Literature & Fiction",2018-01-04 12:14:53
B00DGDLBTM,Beloved Impostor,$1.02,$20.00,21,B00DGDLBTM,12,"10,444,026",,,,2018-01-04 12:14:59
039915079X,The Teeth of the Tiger (Jack Ryan Novels),$0.25,$2.46,1,431 pages,1,"466,192",1783,,"Thrillers & Suspense, Spies & Politics, Military, Mystery, Thriller & Suspense, Terrorism, Espionage",2018-01-04 12:15:03
0975599518,"Natural Cures ""They"" Don't Want You To Know About",$0.25,$1.95,2,572 pages,2,"132,700",129,,"Naturopathy, Healing, Health, Fitness & Dieting, Herbal Remedies, Alternative Medicine",2018-01-04 12:15:08
1416543074,Women Food and God: An Unexpected Path to Almost Everything,$0.10,$2.39,893,"Scribner (March 2, 2010)",9,"109,165",123,,"Mental Health, Health, Fitness & Dieting, Addiction & Recovery, Drug Dependency, Spiritual, Self-Help, Eating Disorders",2018-01-04 12:15:13
1454704217,Never Been Stitched: 45 No-Sew & Low-Sew Projects,$1.44,$0.73,4,"Lark Crafts (February 4, 2014)",1,"1,325,513",2439,,"Crafts, Hobbies & Home, Needlecrafts & Textile Crafts, Sewing, Sewing Patterns, Crafts & Hobbies",2018-01-04 12:15:16
1451695195,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,$4.99,$12.94,10,"Simon &amp; Schuster; 1 edition (October 23, 2012)",8,"1,114",1,,"Science & Religion, Occult & Paranormal, Religion & Spirituality, Parapsychology, Reincarnation, Near-Death Experiences, New Age & Spirituality, Religious Studies",2018-01-04 12:15:21
0736904336,She's Gonna Blow!: Real Help for Moms Dealing With Anger,$0.10,$1.00,105,"Harvest House Pub (April 1, 2001)",11,"3,351,688",8875,,"Parenting & Relationships, Women's Issues, Parenting, Christian Living, Religion & Spirituality, Christian Books & Bibles",2018-01-04 12:15:24
1435114140,Yao Ming (Sports Heroes and Legends Series),$6.49,$47.98,1,Barnes &amp; Noble (2009),5,"4,193,037",,,,2018-01-04 12:15:33
1400049121,The Flyers: In Search of Wilbur & Orville Wright,$0.50,$2.94,14,"Crown (October 7, 2003)",14,"2,217,034",1713,,"Transportation, Astronomy & Space Science, Reference, Science & Math, Engineering & Transportation, Engineering, Aviation, Aeronautics & Astronautics, History",2018-01-04 12:15:37
0806917806,"10-Minute Scrapbook Pages: Hundreds of Easy, Innovative Designs",$1.89,$1.25,8,"Sterling (December 31, 2001)",1,"6,963,149",1808,,"Crafts, Hobbies & Home, Scrapbooking, Reference, Papercrafts, Stamping & Stenciling, Papercrafts, Crafts & Hobbies",2018-01-04 12:15:43
0810970686,Diary of a Wimpy Kid: The Last Straw (Book 3),$0.83,$5.00,1,3 - 7<br/>,12,"1,566",2,,"Comics & Graphic Novels, Family Life, Children's Books, Growing Up & Facts of Life, Parents, Sports & Outdoors",2018-01-04 12:15:50
0312321236,Intuitive Eating: A Revolutionary Program That Works,$1.54,$11.80,237,"St. Martin's Griffin; 2nd edition (September 11, 2003)",12,"54,116",74,,"Mental Health, Health, Fitness & Dieting, Addiction & Recovery, Drug Dependency, Weight Loss, Eating Disorders, Diets & Weight Loss",2018-01-04 12:15:54
0830745815,Simple Ideas for Healthy Living (First Place 4 Health),$1.75,$5.95,9,240 pages,12,"929,377",75615,,"Teens, Health, Fitness & Dieting",2018-01-04 12:16:02
0425194086,Judith krantz lovers,$1.66,$9.00,3,"Berkley Trade (February 3, 2004)",3,"1,824,249",329,,"Eye Problems, Exercise & Fitness, Health, Fitness & Dieting, Quick Workouts, Diseases & Physical Ailments",2018-01-04 12:16:06
1414368860,Overwhelmed: Winning the War against Worry,$1.24,$5.70,329,"Tyndale House Publishers, Inc. (April 1, 2014)",9,"494,621",1601,,"Self Help, Stress Management, Self-Help, Christian Living, Personal Growth, Christian Books & Bibles",2018-01-04 12:16:10
0310205719,The Purpose Driven Life,$0.25,$4.00,4,"Zondervan; 1st edition (October 8, 2002)",1,"7,944",99,,"Spiritual, Self Help, Self-Help, Christian Living, Spiritual Growth, Christian Books & Bibles",2018-01-04 12:16:21
0425222322,"Double Dog Dare (Kendra Ballantyne, Pet-Sitter Mystery, No. 6)",$0.25,$13.09,19,"Berkley (June 3, 2008)",5,"639,485",2076,,"Mystery, Animals, Cozy, Women Sleuths, Small Town & Rural, Mystery, Thriller & Suspense, Genre Fiction, Literature & Fiction",2018-01-04 12:16:24
1561705683,The Western Guide to Feng Shui: Room by Room,$1.09,$4.97,89,"Hay House Inc (October 1, 1999)",1,"138,799",41,,"Crafts, Hobbies & Home, Feng Shui, Other Eastern Religions & Sacred Texts, Decorating & Design, Home Improvement & Design, New Age & Spirituality, Religion & Spirituality",2018-01-04 12:16:27
084991759X,A Love Worth Giving: Living in the Overflow of God's Love,$0.10,$2.99,755,"Thomas Nelson Inc; Special ed. edition (August 1, 2002)",15,"332,610",28,,"Protestantism, Worship & Devotion, Christian Books & Bibles, Inspirational, Christian Living, Religion & Spirituality, Christian Denominations & Sects",2018-01-04 12:16:31
0399241515,Scorpia (An Alex Rider Adventure),$0.10,$4.00,627,312 pages,1,"640,644",913,,"Action & Adventure, Mystery & Detective, Thrillers & Suspense, Mystery & Thriller, Mysteries & Thrillers, Teens, Literature & Fiction",2018-01-04 12:16:36
